SSN,NAME,PG,RANK,DESIG,ACTY,TITLE,FROM,TO,RS_NAME,RS_PG,RSTITLE,PREXP,EO,MB,TEAM,MISS,LEAD,TACT,AVG,MILESTONE1,MILESTONE2,NUMRATED,RSSUMAVG,RSCUMAVG,IND_NOB,IND_SP,IND_PR,IND_P,IND_MP,IND_EP,SUM_SP,SUM_PR,SUM_P,SUM_MP,SUM_EP,PROMSTAT,PERIODIC,CONCURRENT,OPS_CDR,REGULAR,DET_IND,DET_RS,SPECIAL,NOB,ACTIVE,ADSW,FTS,INACTIVE,PFA,OGLI,AUIC  
123456789,SMITH JOHNATHAN,O3,LT   ,1310,VFA  151          ,ASST OPS      ,20171202,20180131,ANDREWS L M,CDR  ,CO            ,5,3,4,4,5,5,4,429,VFA OP DEPT HEAD    ,VFA OP CO           ,0007,371,388, , , , , ,X,000,000,002,002,002,REGULAR ,1,0,0,1,0,0,0,0,1,0,0,0,N   ,S,09558                                           
123456789,SMITH JOHNATHAN,O3,LT   ,1310,VFA-151           ,ASSISTANT OPS ,20180201,20190131,ANDREWS L M,CDR  ,CO            ,5,4,5,5,5,5,5,486,VFA DEPT HEAD       ,VFA OP COMMAND      ,0017,388,385, , , , , ,X,000,000,002,003,002,REGULAR ,1,0,0,1,0,0,0,0,1,0,0,0,PP  ,S,09558                                           
123456789,SMITH JOHNATHAN,O3,LT   ,1310,NAVAVNWARDEVCEN   ,IUT           ,20190201,20190419,ANDERSON T M,CDR  ,DEPT HEAD     ,3,3,3,3,3,3,3,300,TRAINING OFFICER    ,VFA OP DEPT HEAD    ,0145,362,382, , , ,X, , ,000,000,007,008,004,REGULAR ,1,0,0,0,0,1,0,0,1,0,0,0,N   ,S,63407                                           
123456789,SMITH JOHNATHAN,O3,LT   ,1310,NAVAVNWARDEVCEN   ,INSTRUCTOR    ,20190420,20200131,ALDREESEN A Y,CDR  ,DEPT HEAD     ,5,5,4,5,4,5,4,457,TRAINING OFFICER    ,VFA OP DEPT HEAD    ,0099,387,395, , , , ,X, ,000,000,008,008,004,REGULAR ,1,0,0,1,0,0,0,0,1,0,0,0,PP  ,S,63407                                           
123456789,SMITH JOHNATHAN,O3,LT   ,1310,NAVAVNWARDEVCEN   ,INSTRUCTOR    ,20200201,20200704,ALDREESEN A Y,CDR  ,DEPT HEAD     ,5,4,5,5,5,5,5,486,TRAINING OFFICER    ,VFA OP DEPT HEAD    ,0120,377,393, , , , , ,X,000,000,007,007,004,REGULAR ,1,0,0,0,0,1,0,0,1,0,0,0,N   ,S,63407                                           
123456789,SMITH JOHNATHAN,O3,LT   ,1310,NAVAVNWARDEVCEN   ,INSTRUCTOR    ,20200705,20210131,MUNTS N E,CAPT ,DEPT HEAD     ,5,4,5,5,5,5,5,486,VFA OP DEPT HEAD    ,JOINT STAFF         ,0102,486,380, , , , , ,X,000,000,000,000,001,SELECTED,1,0,0,1,0,0,0,0,1,0,0,0,N   ,S,63407                                           
123456789,SMITH JOHNATHAN,O4,LCDR ,1310,NAVAVNWARDEVCEN   ,INSTRUCTOR    ,20210201,20211012,FREDERICK M N,CDR  ,DEPT HEAD     ,4,3,3,4,3,4,4,357,VFA OP DEPT HEAD    ,JOINT STAFF         ,0017,357,402, , , , , ,X,000,000,000,000,001,REGULAR ,1,0,0,0,1,0,0,0,1,0,0,0,N   ,S,63407                                           
123456789,SMITH JOHNATHAN,O4,LCDR ,1310,VFA  151          ,ADMIN DH      ,20211013,20221031,LARK A G,CDR  ,CO            ,3,3,3,4,3,3,4,329,VFA OP CO           ,JOINT               ,0014,375,376, , , ,X, , ,000,000,002,001,001,REGULAR ,1,0,0,1,0,0,0,0,1,0,0,0,B   ,S,09558                                           
123456789,SMITH JOHNATHAN,O4,LCDR ,1310,VFA 151           ,MAINTENANCE DH,20221101,20230106,LARK A G,CDR  ,CO            ,4,4,3,4,3,4,4,371,JCS                 ,VFA OP CO           ,0019,371,379, , , , ,X, ,000,000,001,001,001,REGULAR ,1,0,0,0,0,1,0,0,1,0,0,0,N   ,S,09558                                           
123456789,SMITH JOHNATHAN,O4,LCDR ,1310,VFA 151           ,OPS OFFICER   ,20230107,20231031,RICHARDS R T,CDR  ,CO            ,5,4,5,4,4,5,5,457,VFA OP CO           ,JOINT STAFF         ,0005,367,363, , , , , ,X,000,000,001,001,001,REGULAR ,1,0,0,1,0,0,0,0,1,0,0,0,P   ,S,09558                                           
123456789,SMITH JOHNATHAN,O4,LCDR ,1310,VFA-151           ,OPS OFFICER   ,20231101,20240425,RICHARDS R T,CDR  ,CO            ,5,5,5,5,5,5,5,500,PERS 43             ,VFA OP CO           ,0009,395,367, , , , , ,X,000,000,001,001,001,REGULAR ,1,0,0,0,0,1,0,0,1,0,0,0,N   ,S,09558                                           
123456789,SMITH JOHNATHAN,O4,LCDR ,1310,VFA  151          ,OPS OFFICER   ,20240426,20240808,MICHAELS A A,CDR  ,CO            ,5,5,5,5,5,5,5,500,PERS 43             ,VFA OP CO           ,0001,500,500, , , , , ,X,000,000,000,000,001,REGULAR ,1,0,0,0,1,0,0,0,1,0,0,0,B   ,S,09558                                           
123456789,SMITH JOHNATHAN,O4,LCDR ,1310,NPC MILLINGTON    ,PLACEMENT OFF ,20240809,20241031,VICTORS S H,CAPT ,DIRECTOR      ,4,3,3,3,4,3,0,333,VFA OP COMMAND      ,JOINT STAFF         ,0099,348,394, , , ,X, , ,000,000,005,003,003,REGULAR ,1,0,0,1,0,0,0,0,1,0,0,0,P   ,S,62980                                           
123456789,SMITH JOHNATHAN,O5,CDR  ,1310,CNAVPERSCOM MILL  ,PLACEMENT OFF ,20241101,20260119,VICTORS S H,CAPT ,DIRECTOR      ,4,3,3,4,5,4,0,383,VFA BONUS COMMAND   ,CVW COMMAND         ,0000,383,000, , , , , ,X,000,000,000,000,001,REGULAR ,1,0,0,0,0,0,1,0,1,0,0,0,P   ,S,62980                                           
